Fecha instalación,Fecha de registro,ID del proyecto,Código del sistema,Comunidad,Municipio,Coordenadas,Tecnología,Fotos de SCALLs,Enlace Fotos en Google Drive,Número de beneficiarios / habitantes,Número de mujeres,Número de hombres,Número de niños,Número de niñas,Colaborador principal,Otro colaborador ,Financiador,Otro(s) financiador(es),Proyecto / Ministración ,Tipo de proyecto,Año (NO EDITEN),Mes (NO EDITEN
2024-02-09,,202311001,202311001-001,La Sauceda,San Diego De La Unión,"21.4824455,-100.721358","SCALL - Rotoplas (5,000)",https://photos.app.goo.gl/oeMqB2iD2pptU2zr9,,5,2,3,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202311001,202311001-002,La Sauceda,San Diego De La Unión,"21.4903054,-100.7199229","SCALL - Rotoplas (5,000)",https://photos.app.goo.gl/5x6D7Fq4sf2tC1Rx7,,3,2,1,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202311001,202311001-003,La Sauceda,San Diego De La Unión,"21.4910956,-100.7190221","SCALL - Rotoplas (5,000)",https://photos.app.goo.gl/xoXJEbzWDGyw9Pte7,,7,5,2,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202311001,202311001-004,La Sauceda,San Diego De La Unión,"21.4946141,-100.7187982","SCALL - Rotoplas (5,000)",https://photos.app.goo.gl/mELvkK8pifArBYs5A,,3,3,0,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202311001,202311001-005,La Sauceda,San Diego De La Unión,"21.4952629,-100.7206509","SCALL - Rotoplas (5,000)",https://photos.app.goo.gl/C1FGNfNY6gVj7pWa9,,4,2,2,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202311001,202311001-006,La Sauceda,San Diego De La Unión,"21.4920372,-100.7166642","SCALL - Rotoplas (5,000)",https://photos.app.goo.gl/gcWKVR2jB8z3UKUW8,,5,3,2,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202311001,202311001-007,La Sauceda,San Diego De La Unión,"21.4921322,-100.7181952","SCALL - Rotoplas (5,000)",https://photos.app.goo.gl/uCZCjAxxyZseSZzz9,,3,1,2,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202311001,202311001-008,La Sauceda,San Diego De La Unión,"21.4915926,-100.7173461","SCALL - Rotoplas (5,000)",https://photos.app.goo.gl/FkYBNxYBY9rRc5pU9,,7,5,2,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202311001,202311001-009,La Sauceda,San Diego De La Unión,"21.4913359,-100.7168718","SCALL - Rotoplas (5,000)",https://photos.app.goo.gl/GfH7Wv1Q6gbcKgcD8,,4,2,2,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202311001,202311001-010,La Sauceda,San Diego De La Unión,"21.4862734,-100.719037","SCALL - Rotoplas (5,000)",https://photos.app.goo.gl/YGXdD9rxLcX4Lfa36,,6,4,2,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202311001,202311001-011,La Sauceda,San Diego De La Unión,"21.4863528,-100.7192422","SCALL - Rotoplas (5,000)",https://photos.app.goo.gl/vwhN8nNFUzGPKjDW6,,6,5,1,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202311001,202311001-012,La Sauceda,San Diego De La Unión,"21.485607,-100.7219098","SCALL - Rotoplas (5,000)",https://photos.app.goo.gl/scfpABkh4z42uvM37,,6,4,2,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202311001,202311001-013,La Sauceda,San Diego De La Unión,"21.488287,-100.7198933","SCALL - Rotoplas (5,000)",https://photos.app.goo.gl/DTJ6hVHCLPFrKAz78,,4,1,3,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202311001,202311001-014,La Sauceda,San Diego De La Unión,"21.4919716,-100.7182969","SCALL - Rotoplas (5,000)",https://photos.app.goo.gl/AxezXGuT4VqbVnydA,,5,4,1,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202311001,202311001-015,La Sauceda,San Diego De La Unión,"21.4937582,-100.7190882","SCALL - Rotoplas (5,000)",https://photos.app.goo.gl/iZZFHaQ9FD8UVXtp6,,6,2,4,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202311001,202311001-016,La Sauceda,San Diego De La Unión,"21.4955999,-100.7199278","SCALL - Rotoplas (5,000)",https://photos.app.goo.gl/4vw1wg1gjW1cNvLv6,,5,3,2,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202311001,202311001-017,La Sauceda,San Diego De La Unión,"21.4928235,-100.7211019","SCALL - Rotoplas (5,000)",https://photos.app.goo.gl/joDPLhwovxXswwuj6,,3,1,2,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202311001,202311001-018,La Sauceda,San Diego De La Unión,"21.4908062,-100.7205914","SCALL - Rotoplas (5,000)",https://photos.app.goo.gl/GEzVnbhMS6dWUCbD9,,5,4,1,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202311001,202311001-019,La Sauceda,San Diego De La Unión,"21.4956487,-100.7194506","SCALL - Rotoplas (5,000)",https://photos.app.goo.gl/gApNAwrMRHmRiLSs5,,5,2,3,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-09,,202311001,202311001-020,La Sauceda,San Diego De La Unión,"21.4827584,-100.7202324","SCALL - Rotoplas (5,000)",https://photos.app.goo.gl/AiWysR1FiKFn3uV69,,5,2,3,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Cosecha de agua de lluvia,2024,2
2024-02-14,,202311001,12-22-11-18,La Sauceda,San Diego De La Unión,,Filtro - Aguadapt,,,7,5,2,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Filtros cerámicos,2024,2
2024-02-14,,202311001,11-22-11-26,La Sauceda,San Diego De La Unión,,Filtro - Aguadapt,,,6,5,1,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Filtros cerámicos,2024,2
2024-02-14,,202311001,11-22-11-05,La Sauceda,San Diego De La Unión,,Filtro - Aguadapt,,,5,2,3,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Filtros cerámicos,2024,2
2024-02-14,,202311001,12-22-11-21,La Sauceda,San Diego De La Unión,,Filtro - Aguadapt,,,3,1,2,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Filtros cerámicos,2024,2
2024-02-14,,202311001,12-22-11-22,La Sauceda,San Diego De La Unión,,Filtro - Aguadapt,,,6,2,4,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Filtros cerámicos,2024,2
2024-02-14,,202311001,12-22-11-70,La Sauceda,San Diego De La Unión,,Filtro - Aguadapt,,,3,2,1,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Filtros cerámicos,2024,2
2024-02-14,,202311001,12-22-11-39,La Sauceda,San Diego De La Unión,,Filtro - Aguadapt,,,5,4,1,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Filtros cerámicos,2024,2
2024-02-14,,202311001,12-22-11-34,La Sauceda,San Diego De La Unión,,Filtro - Aguadapt,,,3,1,2,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Filtros cerámicos,2024,2
2024-02-14,,202311001,12-22-10-86,La Sauceda,San Diego De La Unión,,Filtro - Aguadapt,,,5,2,3,,,Administración Municipal de SDU,,Clean Water for Life (CWFL),,AEA - Ministración 1 ,Filtros cerámicos,2024,2
